i-index (unitless),j-index (unitless),X-value (cm),Y-value (cm),Longitude (deg),Latitude (deg),Observation in Radius (count),500mb Height Analysis (m),dmin (~2.55),dminScaler
0,0,18.9,-6.3,226.5651,61.7802,18,5299.4783,2.5549,4
0,1,20.17,-6.3,227.6541,60.1426,15,5316.0723,2.5549,4
0,2,21.44,-6.3,228.6249,58.5082,15,5332.2152,2.5549,4
0,3,22.71,-6.3,229.4954,56.8793,16,5350.2015,2.5549,4
0,4,23.98,-6.3,230.28,55.2575,16,5370.841,2.5549,4
0,5,25.25,-6.3,230.9905,53.6445,14,5391.5826,2.5549,4
0,6,26.52,-6.3,231.6367,52.0415,15,5408.0662,2.5549,4
0,7,27.79,-6.3,232.2269,50.4498,14,5422.3119,2.5549,4
0,8,29.06,-6.3,232.768,48.8702,16,5436.4325,2.5549,4
0,9,30.33,-6.3,233.2657,47.3038,15,5448.6978,2.5549,4
0,10,31.6,-6.3,233.7249,45.7513,14,5459.0159,2.5549,4
0,11,32.87,-6.3,234.15,44.2134,15,5467.0273,2.5549,4
0,12,34.14,-6.3,234.5446,42.6906,15,5477.379,2.5549,4
0,13,35.41,-6.3,234.9117,41.1834,15,5490.5572,2.5549,4
0,14,36.68,-6.3,235.2542,39.6925,14,5502.3451,2.5549,4
0,15,37.95,-6.3,235.5744,38.2181,13,5515.0727,2.5549,4
0,16,39.22,-6.3,235.8744,36.7605,13,5529.0698,2.5549,4
0,17,40.49,-6.3,236.156,35.3202,13,5542.9272,2.5549,4
0,18,41.76,-6.3,236.4209,33.8972,13,5558.7384,2.5549,4
0,19,43.03,-6.3,236.6705,32.492,10,5575.1445,2.5549,4
0,20,44.3,-6.3,236.9061,31.1045,9,5587.7003,2.5549,4
0,21,45.57,-6.3,237.1288,29.7349,8,5599.7904,2.5549,4
1,0,18.9,-5.03,230.0969,62.2764,16,5302.2946,2.5549,4
1,1,20.17,-5.03,230.9972,60.6065,15,5317.499,2.5549,4
1,2,21.44,-5.03,231.7967,58.9431,15,5333.885,2.5549,4
1,3,22.71,-5.03,232.5113,57.2879,16,5351.1083,2.5549,4
1,4,23.98,-5.03,233.1535,55.6423,16,5370.2595,2.5549,4
1,5,25.25,-5.03,233.7337,54.0076,15,5387.444,2.5549,4
1,6,26.52,-5.03,234.2604,52.3848,16,5403.0214,2.5549,4
1,7,27.79,-5.03,234.7405,50.7748,17,5417.278,2.5549,4
1,8,29.06,-5.03,235.18,49.1785,18,5432.1468,2.5549,4
1,9,30.33,-5.03,235.5836,47.5965,17,5442.9285,2.5549,4
1,10,31.6,-5.03,235.9557,46.0296,18,5452.2061,2.5549,4
1,11,32.87,-5.03,236.2997,44.4782,17,5459.8985,2.5549,4
1,12,34.14,-5.03,236.6187,42.9429,19,5471.168,2.5549,4
1,13,35.41,-5.03,236.9152,41.4242,18,5483.0927,2.5549,4
1,14,36.68,-5.03,237.1916,39.9223,17,5494.1492,2.5549,4
1,15,37.95,-5.03,237.4499,38.4376,17,5506.8085,2.5549,4
1,16,39.22,-5.03,237.6917,36.9705,16,5520.6214,2.5549,4
1,17,40.49,-5.03,237.9185,35.5211,14,5534.627,2.5549,4
1,18,41.76,-5.03,238.1318,34.0896,13,5548.4598,2.5549,4
1,19,43.03,-5.03,238.3327,32.6763,12,5564.2341,2.5549,4
1,20,44.3,-5.03,238.5221,31.2812,10,5577.3941,2.5549,4
1,21,45.57,-5.03,238.7012,29.9045,8,5587.8353,2.5549,4
2,0,18.9,-3.76,233.7484,62.6686,15,5300.2087,2.5549,4
2,1,20.17,-3.76,234.4404,60.9724,15,5314.4631,2.5549,4
2,2,21.44,-3.76,235.053,59.2855,15,5331.2978,2.5549,4
2,3,22.71,-3.76,235.5991,57.6092,17,5349.2522,2.5549,4
2,4,23.98,-3.76,236.0887,55.9446,16,5366.7752,2.5549,4
2,5,25.25,-3.76,236.5303,54.2926,17,5383.496,2.5549,4
2,6,26.52,-3.76,236.9304,52.6539,17,5398.8457,2.5549,4
2,7,27.79,-3.76,237.2946,51.0295,19,5413.0281,2.5549,4
2,8,29.06,-3.76,237.6276,49.4198,19,5426.5005,2.5549,4
2,9,30.33,-3.76,237.9331,47.8255,17,5437.8977,2.5549,4
2,10,31.6,-3.76,238.2144,46.2472,19,5446.4271,2.5549,4
2,11,32.87,-3.76,238.4743,44.6853,20,5453.668,2.5549,4
2,12,34.14,-3.76,238.7151,43.1402,20,5464.5641,2.5549,4
2,13,35.41,-3.76,238.9388,41.6122,19,5476.2853,2.5549,4
2,14,36.68,-3.76,239.1472,40.1017,19,5487.2842,2.5549,4
2,15,37.95,-3.76,239.3417,38.609,19,5499.7639,2.5549,4
2,16,39.22,-3.76,239.5238,37.1343,18,5512.8806,2.5549,4
2,17,40.49,-3.76,239.6946,35.6778,16,5526.6308,2.5549,4
2,18,41.76,-3.76,239.8551,34.2397,15,5539.0745,2.5549,4
2,19,43.03,-3.76,240.0061,32.82,15,5553.6471,2.5549,4
2,20,44.3,-3.76,240.1486,31.419,12,5568.5441,2.5549,4
2,21,45.57,-3.76,240.2832,30.0367,8,5580.4781,2.5549,4
3,0,18.9,-2.49,237.4947,62.9514,14,5292.4009,2.5549,4
3,1,20.17,-2.49,237.9624,61.2359,16,5306.7656,2.5549,4
3,2,21.44,-2.49,238.3755,59.5318,16,5325.247,2.5549,4
3,3,22.71,-2.49,238.7429,57.8401,18,5344.757,2.5549,4
3,4,23.98,-2.49,239.0718,56.1616,17,5363.7393,2.5549,4
3,5,25.25,-2.49,239.3681,54.4969,17,5379.486,2.5549,4
3,6,26.52,-2.49,239.6361,52.8468,19,5394.6802,2.5549,4
3,7,27.79,-2.49,239.8799,51.2119,19,5408.8382,2.5549,4
3,8,29.06,-2.49,240.1026,49.5926,20,5420.7748,2.5549,4
3,9,30.33,-2.49,240.3067,47.9894,22,5432.874,2.5549,4
3,10,31.6,-2.49,240.4945,46.4029,21,5441.9346,2.5549,4
3,11,32.87,-2.49,240.6679,44.8333,24,5448.8568,2.5549,4
3,12,34.14,-2.49,240.8285,43.2811,25,5458.797,2.5549,4
3,13,35.41,-2.49,240.9776,41.7466,28,5469.4161,2.5549,4
3,14,36.68,-2.49,241.1165,40.2299,25,5480.68,2.5549,4
3,15,37.95,-2.49,241.2461,38.7314,22,5492.1072,2.5549,4
3,16,39.22,-2.49,241.3673,37.2513,22,5504.5084,2.5549,4
3,17,40.49,-2.49,241.4809,35.7897,20,5517.805,2.5549,4
3,18,41.76,-2.49,241.5877,34.3468,17,5530.2828,2.5549,4
3,19,43.03,-2.49,241.6882,32.9226,15,5542.737,2.5549,4
3,20,44.3,-2.49,241.7829,31.5173,14,5556.4893,2.5549,4
3,21,45.57,-2.49,241.8724,30.1309,11,5570.412,2.5549,4
4,0,18.9,-1.22,241.3067,63.1209,16,5282.6453,2.5549,4
4,1,20.17,-1.22,241.5386,61.3936,15,5297.9543,2.5549,4
4,2,21.44,-1.22,241.7432,59.6792,18,5316.0768,2.5549,4
4,3,22.71,-1.22,241.925,57.9781,18,5337.3529,2.5549,4
4,4,23.98,-1.22,242.0875,56.2912,19,5359.4961,2.5549,4
4,5,25.25,-1.22,242.2338,54.619,17,5375.3997,2.5549,4
4,6,26.52,-1.22,242.3661,52.962,19,5391.7931,2.5549,4
4,7,27.79,-1.22,242.4863,51.3207,22,5406.7482,2.5549,4
4,8,29.06,-1.22,242.596,49.6956,23,5418.3198,2.5549,4
4,9,30.33,-1.22,242.6966,48.0871,26,5430.0828,2.5549,4
4,10,31.6,-1.22,242.789,46.4957,27,5439.8072,2.5549,4
4,11,32.87,-1.22,242.8744,44.9215,25,5445.6398,2.5549,4
4,12,34.14,-1.22,242.9534,43.3651,28,5454.1974,2.5549,4
4,13,35.41,-1.22,243.0267,41.8266,29,5464.3971,2.5549,4
4,14,36.68,-1.22,243.095,40.3062,26,5474.5879,2.5549,4
4,15,37.95,-1.22,243.1587,38.8043,26,5485.1797,2.5549,4
4,16,39.22,-1.22,243.2183,37.3209,23,5496.8058,2.5549,4
4,17,40.49,-1.22,243.2741,35.8563,21,5509.3912,2.5549,4
4,18,41.76,-1.22,243.3266,34.4105,19,5521.4227,2.5549,4
4,19,43.03,-1.22,243.376,32.9837,16,5534.4113,2.5549,4
4,20,44.3,-1.22,243.4225,31.5758,13,5546.6309,2.5549,4
4,21,45.57,-1.22,243.4664,30.187,13,5558.9017,2.5549,4
5,0,18.9,0.05,245.1516,63.1746,14,5270.752,2.5549,4
5,1,20.17,0.05,245.142,61.4436,14,5287.7596,2.5549,4
5,2,21.44,0.05,245.1336,59.7258,18,5307.1841,2.5549,4
5,3,22.71,0.05,245.1261,58.0218,18,5329.6489,2.5549,4
5,4,23.98,0.05,245.1195,56.3322,20,5351.3467,2.5549,4
5,5,25.25,0.05,245.1135,54.6576,19,5371.7222,2.5549,4
5,6,26.52,0.05,245.108,52.9984,23,5391.6697,2.5549,4
5,7,27.79,0.05,245.1031,51.3551,22,5407.144,2.5549,4
5,8,29.06,0.05,245.0986,49.7282,25,5419.1872,2.5549,4
5,9,30.33,0.05,245.0945,48.118,29,5430.3131,2.5549,4
5,10,31.6,0.05,245.0907,46.525,28,5440.0933,2.5549,4
5,11,32.87,0.05,245.0872,44.9494,28,5445.1407,2.5549,4
5,12,34.14,0.05,245.0839,43.3916,31,5452.2916,2.5549,4
5,13,35.41,0.05,245.0809,41.8519,30,5461.3317,2.5549,4
