i-index (unitless),j-index (unitless),X-value (cm),Y-value (cm),Longitude (deg),Latitude (deg),First Pass (m),Third Pass (m),Pass_3_minus_Pass_1 (m) joe (m)
0,0,18.9,-6.3,226.5651,61.7802,5299.4783,5303.8079,4.3296
0,1,20.17,-6.3,227.6541,60.1426,5316.0723,5337.5166,21.4443
0,2,21.44,-6.3,228.6249,58.5082,5332.2152,5364.7329,32.5177
0,3,22.71,-6.3,229.4954,56.8793,5350.2015,5400.6673,50.4658
0,4,23.98,-6.3,230.28,55.2575,5370.841,5425.6841,54.8431
0,5,25.25,-6.3,230.9905,53.6445,5391.5826,5443.3918,51.8092
0,6,26.52,-6.3,231.6367,52.0415,5408.0662,5458.7275,50.6614
0,7,27.79,-6.3,232.2269,50.4498,5422.3119,5469.5939,47.282
0,8,29.06,-6.3,232.768,48.8702,5436.4325,5480.9921,44.5596
0,9,30.33,-6.3,233.2657,47.3038,5448.6978,5490.0179,41.3201
0,10,31.6,-6.3,233.7249,45.7513,5459.0159,5500.3578,41.3419
0,11,32.87,-6.3,234.15,44.2134,5467.0273,5515.6695,48.6422
0,12,34.14,-6.3,234.5446,42.6906,5477.379,5536.8759,59.4968
0,13,35.41,-6.3,234.9117,41.1834,5490.5572,5562.5456,71.9884
0,14,36.68,-6.3,235.2542,39.6925,5502.3451,5589.3402,86.9951
0,15,37.95,-6.3,235.5744,38.2181,5515.0727,5612.2087,97.1359
0,16,39.22,-6.3,235.8744,36.7605,5529.0698,5635.8137,106.7439
0,17,40.49,-6.3,236.156,35.3202,5542.9272,5659.9551,117.0278
0,18,41.76,-6.3,236.4209,33.8972,5558.7384,5688.6734,129.935
0,19,43.03,-6.3,236.6705,32.492,5575.1445,5702.9996,127.8551
0,20,44.3,-6.3,236.9061,31.1045,5587.7003,5685.1505,97.4502
0,21,45.57,-6.3,237.1288,29.7349,5599.7904,5698.2663,98.4759
1,0,18.9,-5.03,230.0969,62.2764,5302.2946,5290.3237,-11.9709
1,1,20.17,-5.03,230.9972,60.6065,5317.499,5315.8871,-1.6119
1,2,21.44,-5.03,231.7967,58.9431,5333.885,5339.5074,5.6224
1,3,22.71,-5.03,232.5113,57.2879,5351.1083,5367.7166,16.6083
1,4,23.98,-5.03,233.1535,55.6423,5370.2595,5394.4042,24.1447
1,5,25.25,-5.03,233.7337,54.0076,5387.444,5416.7732,29.3292
1,6,26.52,-5.03,234.2604,52.3848,5403.0214,5432.7593,29.7379
1,7,27.79,-5.03,234.7405,50.7748,5417.278,5450.1683,32.8903
1,8,29.06,-5.03,235.18,49.1785,5432.1468,5468.2122,36.0655
1,9,30.33,-5.03,235.5836,47.5965,5442.9285,5474.1311,31.2026
