i-index (unitless),j-index (unitless),X-value (cm),Y-value (cm),Longitude (deg),Latitude (deg),Observation in Radius (count),500mb Height Analysis (m),dmin (~2.55),dminScaler
0,0,18.9,-6.3,226.5651,61.7802,3,5303.8079,2.5549,1.5
0,1,20.17,-6.3,227.6541,60.1426,2,5337.5166,2.5549,1.5
0,2,21.44,-6.3,228.6249,58.5082,4,5364.7329,2.5549,1.5
0,3,22.71,-6.3,229.4954,56.8793,3,5400.6673,2.5549,1.5
0,4,23.98,-6.3,230.28,55.2575,3,5425.6841,2.5549,1.5
0,5,25.25,-6.3,230.9905,53.6445,3,5443.3918,2.5549,1.5
0,6,26.52,-6.3,231.6367,52.0415,4,5458.7275,2.5549,1.5
0,7,27.79,-6.3,232.2269,50.4498,3,5469.5939,2.5549,1.5
0,8,29.06,-6.3,232.768,48.8702,2,5480.9921,2.5549,1.5
0,9,30.33,-6.3,233.2657,47.3038,3,5490.0179,2.5549,1.5
0,10,31.6,-6.3,233.7249,45.7513,3,5500.3578,2.5549,1.5
0,11,32.87,-6.3,234.15,44.2134,3,5515.6695,2.5549,1.5
0,12,34.14,-6.3,234.5446,42.6906,2,5536.8759,2.5549,1.5
0,13,35.41,-6.3,234.9117,41.1834,3,5562.5456,2.5549,1.5
0,14,36.68,-6.3,235.2542,39.6925,2,5589.3402,2.5549,1.5
0,15,37.95,-6.3,235.5744,38.2181,2,5612.2087,2.5549,1.5
0,16,39.22,-6.3,235.8744,36.7605,1,5635.8137,2.5549,1.5
0,17,40.49,-6.3,236.156,35.3202,1,5659.9551,2.5549,1.5
0,18,41.76,-6.3,236.4209,33.8972,2,5688.6734,2.5549,1.5
0,19,43.03,-6.3,236.6705,32.492,1,5702.9996,2.5549,1.5
0,20,44.3,-6.3,236.9061,31.1045,0,5685.1505,2.5549,1.5
0,21,45.57,-6.3,237.1288,29.7349,0,5698.2663,2.5549,1.5
1,0,18.9,-5.03,230.0969,62.2764,3,5290.3237,2.5549,1.5
1,1,20.17,-5.03,230.9972,60.6065,3,5315.8871,2.5549,1.5
1,2,21.44,-5.03,231.7967,58.9431,3,5339.5074,2.5549,1.5
1,3,22.71,-5.03,232.5113,57.2879,3,5367.7166,2.5549,1.5
1,4,23.98,-5.03,233.1535,55.6423,4,5394.4042,2.5549,1.5
1,5,25.25,-5.03,233.7337,54.0076,3,5416.7732,2.5549,1.5
1,6,26.52,-5.03,234.2604,52.3848,4,5432.7593,2.5549,1.5
1,7,27.79,-5.03,234.7405,50.7748,3,5450.1683,2.5549,1.5
1,8,29.06,-5.03,235.18,49.1785,4,5468.2122,2.5549,1.5
1,9,30.33,-5.03,235.5836,47.5965,3,5474.1311,2.5549,1.5
1,10,31.6,-5.03,235.9557,46.0296,3,5483.8711,2.5549,1.5
1,11,32.87,-5.03,236.2997,44.4782,3,5497.3419,2.5549,1.5
1,12,34.14,-5.03,236.6187,42.9429,2,5516.8982,2.5549,1.5
1,13,35.41,-5.03,236.9152,41.4242,4,5538.7024,2.5549,1.5
1,14,36.68,-5.03,237.1916,39.9223,3,5557.3172,2.5549,1.5
1,15,37.95,-5.03,237.4499,38.4376,3,5580.6959,2.5549,1.5
1,16,39.22,-5.03,237.6917,36.9705,2,5613.8297,2.5549,1.5
1,17,40.49,-5.03,237.9185,35.5211,2,5638.3886,2.5549,1.5
1,18,41.76,-5.03,238.1318,34.0896,3,5658.8553,2.5549,1.5
1,19,43.03,-5.03,238.3327,32.6763,2,5686.3646,2.5549,1.5
1,20,44.3,-5.03,238.5221,31.2812,2,5708.3746,2.5549,1.5
1,21,45.57,-5.03,238.7012,29.9045,1,5719.1152,2.5549,1.5
