i-index (unitless),j-index (unitless),X-value (cm),Y-value (cm),Longitude (deg),Latitude (deg),500mb Height Analysis (m),Analysis Increment from Background (m)
0,0,18.9,-6.3,-133.4349,61.7802,5328.2672,10.0838
0,1,20.17,-6.3,-132.3459,60.1426,5344.7745,9.836
0,2,21.44,-6.3,-131.3751,58.5082,5376.8565,23.825
0,3,22.71,-6.3,-130.5046,56.8793,5405.9526,30.9091
0,4,23.98,-6.3,-129.72,55.2575,5425.0681,27.7905
0,5,25.25,-6.3,-129.0095,53.6445,5450.5173,33.5184
0,6,26.52,-6.3,-128.3633,52.0415,5463.8255,29.0689
0,7,27.79,-6.3,-127.7731,50.4498,5470.6605,20.7147
0,8,29.06,-6.3,-127.232,48.8702,5477.1298,15.756
0,9,30.33,-6.3,-126.7343,47.3038,5480.0038,9.7937
0,10,31.6,-6.3,-126.2751,45.7513,5484.6416,5.3487
0,11,32.87,-6.3,-125.85,44.2134,5501.9914,11.5981
0,12,34.14,-6.3,-125.4554,42.6906,5526.6459,22.6498
0,13,35.41,-6.3,-125.0883,41.1834,5552.3278,31.3642
0,14,36.68,-6.3,-124.7458,39.6925,5580.5057,39.4371
0,15,37.95,-6.3,-124.4256,38.2181,5602.5573,41.8207
0,16,39.22,-6.3,-124.1256,36.7605,5627.7614,50.3653
0,17,40.49,-6.3,-123.844,35.3202,5633.1944,40.2396
0,18,41.76,-6.3,-123.5791,33.8972,5645.6835,36.4057
0,19,43.03,-6.3,-123.3295,32.492,5654.224,30.8387
0,20,44.3,-6.3,-123.0939,31.1045,5647.2279,15.1268
0,21,45.57,-6.3,-122.8712,29.7349,5650.2982,13.94
1,0,18.9,-5.03,-129.9031,62.2764,5298.1096,-6.8593
1,1,20.17,-5.03,-129.0028,60.6065,5320.4771,-2.166
1,2,21.44,-5.03,-128.2033,58.9431,5334.4899,-5.8722
1,3,22.71,-5.03,-127.4887,57.2879,5371.5532,10.2627
1,4,23.98,-5.03,-126.8465,55.6423,5398.8129,15.0738
1,5,25.25,-5.03,-126.2663,54.0076,5414.0873,9.0796
1,6,26.52,-5.03,-125.7396,52.3848,5432.2565,7.5888
1,7,27.79,-5.03,-125.2595,50.7748,5460.5649,18.5902
1,8,29.06,-5.03,-124.82,49.1785,5468.7705,13.5676
1,9,30.33,-5.03,-124.4164,47.5965,5471.363,6.5902
1,10,31.6,-5.03,-124.0443,46.0296,5478.9093,5.4117
1,11,32.87,-5.03,-123.7003,44.4782,5494.847,11.4057
1,12,34.14,-5.03,-123.3813,42.9429,5518.4377,23.158
1,13,35.41,-5.03,-123.0848,41.4242,5542.4007,32.4918
1,14,36.68,-5.03,-122.8084,39.9223,5569.1461,41.4627
1,15,37.95,-5.03,-122.5501,38.4376,5586.0937,39.3432
1,16,39.22,-5.03,-122.3083,36.9705,5609.9493,44.0747
1,17,40.49,-5.03,-122.0815,35.5211,5629.825,43.4683
1,18,41.76,-5.03,-121.8682,34.0896,5646.4844,39.5826
1,19,43.03,-5.03,-121.6673,32.6763,5645.1578,22.8184
1,20,44.3,-5.03,-121.4779,31.2812,5653.7406,22.6499
1,21,45.57,-5.03,-121.2988,29.9045,5656.138,20.7503
2,0,18.9,-3.76,-126.2516,62.6686,5266.645,-24.1216
2,1,20.17,-3.76,-125.5596,60.9724,5284.6555,-21.9465
2,2,21.44,-3.76,-124.947,59.2855,5310.859,-11.8635
2,3,22.71,-3.76,-124.4009,57.6092,5326.7865,-15.9273
2,4,23.98,-3.76,-123.9113,55.9446,5351.7338,-14.1916
2,5,25.25,-3.76,-123.4697,54.2926,5380.7292,-7.9573
2,6,26.52,-3.76,-123.0696,52.6539,5408.3497,-1.2295
2,7,27.79,-3.76,-122.7054,51.0295,5434.0359,5.6803
2,8,29.06,-3.76,-122.3724,49.4198,5453.4125,10.4895
2,9,30.33,-3.76,-122.0669,47.8255,5458.924,6.1975
2,10,31.6,-3.76,-121.7856,46.2472,5465.6752,5.0501
2,11,32.87,-3.76,-121.5257,44.6853,5479.3176,10.2919
2,12,34.14,-3.76,-121.2849,43.1402,5500.6058,21.8375
2,13,35.41,-3.76,-121.0612,41.6122,5512.8687,21.9932
2,14,36.68,-3.76,-120.8528,40.1017,5525.9087,19.5421
2,15,37.95,-3.76,-120.6583,38.609,5552.2384,27.0967
2,16,39.22,-3.76,-120.4762,37.1343,5580.1058,32.5672
2,17,40.49,-3.76,-120.3054,35.6778,5617.3943,43.5151
2,18,41.76,-3.76,-120.1449,34.2397,5627.9974,28.8148
2,19,43.03,-3.76,-119.9939,32.82,5647.9059,30.845
2,20,44.3,-3.76,-119.8514,31.419,5657.7077,30.4807
2,21,45.57,-3.76,-119.7168,30.0367,5660.2912,27.807
3,0,18.9,-2.49,-122.5053,62.9514,5255.0814,-23.6705
3,1,20.17,-2.49,-122.0376,61.2359,5269.1664,-21.5817
3,2,21.44,-2.49,-121.6245,59.5318,5285.6554,-19.0305
3,3,22.71,-2.49,-121.2571,57.8401,5307.988,-16.2289
3,4,23.98,-2.49,-120.9282,56.1616,5333.8757,-14.4764
3,5,25.25,-2.49,-120.6319,54.4969,5362.7821,-8.9363
3,6,26.52,-2.49,-120.3639,52.8468,5383.2761,-8.6184
3,7,27.79,-2.49,-120.1201,51.2119,5392.7427,-17.0717
3,8,29.06,-2.49,-119.8974,49.5926,5415.0154,-8.994
3,9,30.33,-2.49,-119.6933,47.9894,5422.6631,-10.5679
3,10,31.6,-2.49,-119.5055,46.4029,5429.2679,-10.7704
3,11,32.87,-2.49,-119.3321,44.8333,5429.5642,-17.3601
3,12,34.14,-2.49,-119.1715,43.2811,5448.3805,-6.5455
3,13,35.41,-2.49,-119.0224,41.7466,5448.8486,-16.3595
3,14,36.68,-2.49,-118.8835,40.2299,5477.5777,-1.591
3,15,37.95,-2.49,-118.7539,38.7314,5510.5023,12.4628
3,16,39.22,-2.49,-118.6327,37.2513,5541.835,18.305
3,17,40.49,-2.49,-118.5191,35.7897,5551.1937,-3.6856
3,18,41.76,-2.49,-118.4123,34.3468,5619.9507,35.3523
3,19,43.03,-2.49,-118.3118,32.9226,5643.634,37.7108
3,20,44.3,-2.49,-118.2171,31.5173,5655.8902,37.1417
3,21,45.57,-2.49,-118.1276,30.1309,5659.5428,33.7768
4,0,18.9,-1.22,-118.6933,63.1209,5236.8626,-28.6049
4,1,20.17,-1.22,-118.4614,61.3936,5252.0474,-21.9195
4,2,21.44,-1.22,-118.2568,59.6792,5263.8442,-22.5203
4,3,22.71,-1.22,-118.075,57.9781,5285.2464,-21.3777
4,4,23.98,-1.22,-117.9125,56.2912,5321.7471,-11.3094
4,5,25.25,-1.22,-117.7662,54.619,5350.9495,-6.7945
4,6,26.52,-1.22,-117.6339,52.962,5370.4253,-6.4913
4,7,27.79,-1.22,-117.5137,51.3207,5380.9565,-12.0074
4,8,29.06,-1.22,-117.404,49.6956,5388.9028,-16.9281
4,9,30.33,-1.22,-117.3034,48.0871,5392.7943,-21.3055
4,10,31.6,-1.22,-117.211,46.4957,5392.4385,-27.3646
4,11,32.87,-1.22,-117.1256,44.9215,5393.2378,-32.2507
4,12,34.14,-1.22,-117.0466,43.3651,5397.2921,-35.1008
4,13,35.41,-1.22,-116.9733,41.8266,5407.0499,-34.3953
4,14,36.68,-1.22,-116.905,40.3062,5441.1511,-12.8713
4,15,37.95,-1.22,-116.8413,38.8043,5464.2354,-8.0927
4,16,39.22,-1.22,-116.7817,37.3209,5475.632,-23.202
4,17,40.49,-1.22,-116.7259,35.8563,5514.1115,-17.7231
4,18,41.76,-1.22,-116.6734,34.4105,5571.084,7.5826
4,19,43.03,-1.22,-116.624,32.9837,5629.467,41.9164
4,20,44.3,-1.22,-116.5775,31.5758,5644.2803,41.1782
4,21,45.57,-1.22,-116.5336,30.187,5649.3513,37.356
5,0,18.9,0.05,-114.8484,63.1746,5221.0622,-27.8515
5,1,20.17,0.05,-114.858,61.4436,5232.8102,-24.0735
5,2,21.44,0.05,-114.8664,59.7258,5244.3185,-24.7177
5,3,22.71,0.05,-114.8739,58.0218,5267.4592,-23.4484
5,4,23.98,0.05,-114.8805,56.3322,5307.6934,-13.4854
5,5,25.25,0.05,-114.8865,54.6576,5344.9311,-4.3064
5,6,26.52,0.05,-114.892,52.9984,5365.6677,-4.0361
5,7,27.79,0.05,-114.8969,51.3551,5374.9428,-11.002
5,8,29.06,0.05,-114.9014,49.7282,5379.8827,-18.6097
5,9,30.33,0.05,-114.9055,48.118,5386.3151,-19.7024
5,10,31.6,0.05,-114.9093,46.525,5391.3531,-19.2697
5,11,32.87,0.05,-114.9128,44.9494,5383.0772,-32.0135
5,12,34.14,0.05,-114.9161,43.3916,5385.3161,-35.3618
5,13,35.41,0.05,-114.9191,41.8519,5393.183,-34.7128
5,14,36.68,0.05,-114.9219,40.3304,5409.6137,-28.5042
5,15,37.95,0.05,-114.9245,38.8273,5435.6105,-18.6734
5,16,39.22,0.05,-114.927,37.3429,5442.9656,-36.1959
5,17,40.49,0.05,-114.9292,35.8773,5473.2936,-37.0192
5,18,41.76,0.05,-114.9314,34.4306,5534.7011,-5.8295
5,19,43.03,0.05,-114.9334,33.0029,5583.5415,18.9461
5,20,44.3,0.05,-114.9353,31.5943,5622.7195,41.6746
5,21,45.57,0.05,-114.9371,30.2048,5628.4258,37.6641
