stationID,latitude (deg),longitude (deg),Observed 500 hPa geopotential height (m),Analyzed 500 hPa geopotential height (m),Analysis - Observed (m)
0.0,51.47,-90.2,5460.0,5461.344,1.344
1.0,43.83,-66.0,5540.0,5541.214,1.214
2.0,53.55,-113.9,5360.0,5358.271,-1.729
3.0,53.75,-73.6,5340.0,5324.25,-15.75
4.0,64.3,-96.0,5220.0,5223.564,3.564
5.0,69.1,-105.1,5190.0,5213.219,23.219
6.0,80.0,-85.8,4890.0,nan,nan
7.0,68.3,-133.4,5210.0,5288.121,78.121
8.0,63.75,-68.5,5140.0,5194.782,54.782
9.0,48.53,-58.5,5360.0,5433.62,73.62
10.0,82.52,-62.2,4970.0,nan,nan
11.0,51.27,-80.6,5450.0,5450.363,0.363
12.0,58.47,-78.0,5180.0,5244.93,64.93
13.0,53.97,-101.1,5370.0,5369.893,-0.107
14.0,74.72,-94.9,5020.0,5207.016,187.016
15.0,43.93,-60.0,5490.0,5477.3,-12.7
16.0,60.02,-111.9,5230.0,5231.539,1.539
17.0,68.78,-81.2,5160.0,5202.055,42.055
18.0,58.1,-68.4,5180.0,5287.357,107.357
19.0,65.28,-126.8,5270.0,5280.177,10.177
20.0,58.83,-122.5,5300.0,5301.147,1.147
21.0,58.75,-94.0,5250.0,5249.47,-0.53
22.0,53.32,-60.4,5250.0,5369.945,119.945
23.0,50.68,-127.3,5470.0,5467.416,-2.584
24.0,50.22,-66.2,5380.0,5420.345,40.345
25.0,53.9,-122.8,5380.0,5384.131,4.131
26.0,35.05,-106.6,5430.0,5430.749,0.749
27.0,45.45,-98.4,5550.0,5545.982,-4.018
28.0,57.75,-152.4,5200.0,5344.866,144.866
29.0,40.35,-79.9,5710.0,5710.653,0.653
30.0,58.68,-156.6,5180.0,5337.511,157.511
31.0,40.17,-103.2,5450.0,5463.759,13.759
32.0,42.75,-72.2,5660.0,5649.439,-10.561
33.0,35.23,-101.7,5440.0,5457.358,17.358
34.0,61.17,-150.0,5260.0,5333.412,73.412
35.0,55.03,-131.5,5420.0,5392.979,-27.021
36.0,45.07,-82.4,5610.0,5615.154,5.154
37.0,32.5,-93.6,5780.0,5780.183,0.183
38.0,60.78,-161.8,5180.0,5331.04,151.04
39.0,46.77,-100.7,5510.0,5512.147,2.147
40.0,33.57,-85.2,5820.0,5817.784,-2.216
41.0,36.13,-86.6,5780.0,5779.615,-0.385
42.0,43.57,-116.2,5390.0,5392.098,2.098
43.0,25.9,-97.4,5840.0,5797.823,-42.177
44.0,71.3,-156.7,5130.0,5312.537,182.537
45.0,42.93,-78.7,5660.0,5663.632,3.632
46.0,35.97,-89.9,5760.0,5761.091,1.091
47.0,46.87,-68.0,5510.0,5508.762,-1.238
48.0,55.2,-162.7,5100.0,5333.9,233.9
49.0,41.66,-69.96,5630.0,5633.533,3.533
50.0,32.9,-80.0,5810.0,5810.279,0.279
51.0,27.77,-97.5,5810.0,5769.705,-40.295
52.0,37.77,-99.9,5540.0,5530.239,-9.761
53.0,39.86,-104.7,5450.0,5449.745,-0.255
54.0,29.37,-100.7,5680.0,5682.25,2.25
55.0,32.17,-110.8,5570.0,5568.063,-1.937
56.0,39.78,-104.8,5450.0,5448.794,-1.206
57.0,29.37,-100.9,5680.0,5678.012,-1.988
58.0,42.7,-83.4,5670.0,5667.032,-2.968
